app_name,store,rating,date,review_text,version,source_url
토스,sample,3,2026-01-04,[문의성] 카드 재발급은 앱에서 어디서 하나요?,1.2.0,sample_generated
토스,sample,5,2025-10-04,[긍정] 업데이트되면서 훨씬 쓰기 좋아졌어요. 추천합니다.,1.1.2,sample_generated
토스,sample,3,2025-11-11,[투자] 펀드 가입 과정이 직관적이라 좋았습니다.,1.1.0,sample_generated
카카오뱅크,sample,4,2026-01-17,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,1.0.0,sample_generated
토스,sample,3,2026-01-18,[문의성] 해외 결제 등록 방법이 궁금합니다.,1.0.0,sample_generated
우리WON뱅킹,sample,4,2025-12-25,[긍정] 업데이트되면서 훨씬 쓰기 좋아졌어요. 추천합니다.,1.0.0,sample_generated
KB스타뱅킹,sample,4,2026-05-17,[UX] 글씨가 작고 버튼 위치가 불편해요.,2.0.0,sample_generated
KB스타뱅킹,sample,4,2025-10-05,[혜택] 포인트 혜택은 좋은데 조건이 좀 복잡해요.,1.1.0,sample_generated
토스,sample,1,2026-03-03,[속도] 실행 속도가 느리고 자주 버벅거려요.,1.0.0,sample_generated
토스,sample,1,2025-12-17,[보안우려] 개인정보 처리 방식이 명확하지 않은 것 같아요.,1.0.0,sample_generated
우리WON뱅킹,sample,4,2026-02-25,[혜택] 이벤트 혜택 챙기는 재미가 있네요.,1.1.2,sample_generated
슈퍼SOL,sample,3,2026-02-23,[송금] 송금은 편한데 가끔 지연될 때가 있어요.,1.0.0,sample_generated
우리WON뱅킹,sample,2,2025-10-21,[보안우려] 개인정보 처리 방식이 명확하지 않은 것 같아요.,1.0.0,sample_generated
슈퍼SOL,sample,3,2026-05-18,[UX] 디자인은 깔끔한데 동선이 복잡합니다.,2.0.0,sample_generated
KB스타뱅킹,sample,2,2026-03-23,[속도] 앱이 너무 느려요. 화면 전환할 때마다 한참 기다립니다.,2.0.0,sample_generated
하나원큐,sample,2,2026-01-13,[송금] 송금은 편한데 가끔 지연될 때가 있어요.,1.1.0,sample_generated
